X,Y,id,rowId
205.6792150096,-23.1882967873,1,1
227.059524781,-22.2448513503,2,1
249.72519076,-21.1736355899,3,1
268.1352268992,-19.7537908076,4,1
289.2807458388,-18.3248324149,5,1
315.6239704552,-16.2448272319,6,1
345.3388366929,-13.6301631825,7,1
366.2556555651,-14.062478185,8,1
390.1517723089,-10.6605746828,9,1
416.3825073698,-10.7242365818,10,1
436.4315824669,-11.2807095868,11,1
464.6629386215,-11.9508732464,12,1
492.9791801549,-9.9237291628,13,1
517.2329315605,-10.0702812026,14,1
555.1344752763,-8.9443554564,15,1
580.9984740087,-8.1946743337,16,1
605.7379510571,-5.9456309656,17,1
631.6019497895,-5.195949843,18,1
658.590470206,-5.5707904043,19,1
682.5802661317,-5.5707904043,20,1
708.8191054255,-4.0714281589,21,1
736.1824664033,-4.0714281589,22,1
762.4213056971,-2.9469064749,23,1
187.0352205586,-41.3942160385,100,2
209.0413524405,-40.209003978,101,2
232.2617240707,-39.5599466207,102,2
252.8380524306,-38.5341143635,103,2
282.9232706754,-39.4477517927,104,2
301.9167238284,-37.9404913568,105,2
326.6047482769,-41.8355881888,106,2
350.6816690485,-36.0480009473,107,2
374.8438535033,-34.1562570883,108,2
403.6739133491,-34.6071912598,109,2
429.0218568542,-35.7461318696,110,2
453.9932743095,-36.6780845333,111,2
482.1932505692,-34.9930797701,112,2
507.5318316138,-34.7860918241,113,2
551.4097017449,-35.0160360994,114,2
575.8024036871,-37.5110204136,115,2
596.4480723528,-28.001768635,116,2
627.4851471043,-32.8805323006,117,2
653.7675959665,-32.8805323006,118,2
679.2287183018,-32.0592057737,119,2
706.3324936909,-30.4165527198,120,2
737.6463300546,-26.6512922225,121,2
762.9874637925,-28.7738996659,122,2
788.4651463853,-28.7738996659,123,2
817.2115748284,-27.131246612,124,2
845.1366767445,-27.131246612,125,2
872.2404521336,-24.6672670312,126,2
901.8082071036,-23.8459405042,127,2
928.9119824927,-23.8459405042,128,2
960.1223905166,-23.8459405042,129,2
988.0474924327,-23.0246139773,130,2
1016.4363656997,-21.8014132129,131,2
1045.760620643,-15.9365622243,132,2
141.9354120052,-94.6199272261,200,3
162.8473254987,-93.5773125957,201,3
185.9902259284,-90.9968366925,202,3
216.0005571054,-93.6586952945,203,3
241.4616794407,-92.8373687675,204,3
261.9948426143,-92.8373687675,205,3
293.071197504,-90.1521010832,206,3
320.3090260273,-90.3733891867,207,3
344.1274953087,-88.7307361328,208,3
372.0525972248,-88.7307361328,209,3
399.9776991409,-87.9094096059,210,3
428.129941431,-86.9891435684,211,3
455.3385086013,-88.3812471658,212,3
481.6443665459,-89.0685205586,213,3
524.8193312363,-85.445430025,214,3
555.2084127333,-82.9814504442,215,3
585.5974942302,-83.8027769712,216,3
612.7012696193,-83.8027769712,217,3
640.1981313158,-82.2283983447,218,3
670.8271900075,-80.397482266,219,3
696.73311282,-79.1313552618,220,3
728.5083099184,-78.0534912825,221,3
760.5400444692,-76.4108382287,222,3
788.1403345055,-76.7356501085,223,3
820.8568467283,-74.6481965774,224,3
848.4219828522,-74.7681851748,225,3
877.9897378222,-73.9468586478,225,3
911.6641254269,-73.1255321209,226,3
939.589227343,-73.1255321209,227,3
973.2636149477,-71.482879067,228,3
1004.4740229716,-71.482879067,229,3
117.8956546203,-120.6635311731,300,4
142.7742953439,-122.4168282787,301,4
170.3323514812,-118.3277524557,302,4
191.4948144312,-122.276922874,303,4
216.6181523406,-117.9665589476,304,4
247.9040907927,-117.3723727947,305,4
275.141919316,-112.3454741225,306,4
301.4185159076,-117.4771645759,307,4
330.1649443506,-116.6558380489,308,4
358.9113727937,-115.834511522,309,4
383.551168602,-115.834511522,310,4
413.9402500989,-115.834511522,311,4
445.1506581228,-116.6558380489,312,4
472.1262326484,-116.6499857783,313,4
512.5228424145,-114.2035630093,314,4
548.6378005177,-113.3705319411,315,4
577.3842289607,-112.5492054142,316,4
604.4880043499,-112.5492054142,317,4
634.8770858468,-110.9065523603,318,4
664.4448408168,-110.9065523603,319,4
698.1192284215,-109.2638993064,320,4
726.0443303376,-107.6212462525,321,4
757.2547383615,-108.4425727795,322,4
786.8224933314,-108.4425727795,323,4
819.6755544092,-105.1572666717,324,4
850.8859624331,-105.1572666717,325,4
882.0963704569,-107.6212462525,326,4
915.7707580616,-103.5146136178,327,4
946.9811660855,-104.3359401448,328,4
978.1915741094,-103.5146136178,329,4
1010.2233086602,-102.6932870909,330,4
56.9047508795,-181.0460607893,400,5
82.0656387193,-180.9073415159,401,5
110.3901938049,-182.9995158786,402,5
137.9838141533,-179.3097729598,403,5
167.9894246794,-178.781360347,404,5
200.5978936166,-177.6662636824,405,5
229.8588968081,-177.5892829121,406,5
252.6689461105,-175.7854611033,407,5
282.645532831,-174.8957291553,408,5
318.0816113064,-174.3892285748,409,5
347.6695967962,-178.0438900696,410,5
382.4486232217,-178.0438900696,411,5
412.2592173008,-176.056517131,412,5
442.4233944239,-175.0290679358,413,5
495.6656896569,-173.6947624842,414,5
526.7521561999,-175.4670577946,415,5
560.4020215616,-173.9856238574,416,5
590.0243526158,-174.7910473019,417,5
621.9270623234,-174.1526645273,418,5
654.8546074903,-173.3996124278,419,5
686.516682828,-172.0817712538,420,5
722.2893957229,-170.0943983152,421,5
749.1189303941,-170.0943983152,422,5
786.8790162275,-168.1070253765,423,5
822.2475019895,-166.2880032785,424,5
859.0814268055,-167.3492151996,425,5
890.8456310972,-166.8943439778,426,5
922.6306287171,-167.2536108751,427,5
957.7930889474,-169.1007118458,428,5
996.5468612502,-167.1133389072,429,5
1031.3258876758,-165.1259659686,430,5
28.4772452209,-214.1195419196,500,6
59.3562070746,-213.7813228157,501,6
91.5436201236,-216.8500337173,502,6
118.3162854123,-218.4085092612,503,6
147.4471002154,-215.7720995809,504,6
174.297012441,-215.67518987,505,6
208.5534910939,-214.8102894337,506,6
238.3538376615,-216.5620501443,507,6
271.391350888,-214.3390649777,508,6
299.9726462697,-214.8102894337,509,6
330.776926818,-214.8102894337,510,6
361.345331074,-207.9215468115,511,6
399.3412931998,-215.803975903,512,6
427.9054431543,-208.9489960067,513,6
479.8298972133,-214.8102894337,514,6
516.5962965774,-213.8166029644,515,6
546.4068906565,-213.8166029644,516,6
581.1859170821,-210.8355435565,517,6
611.9901976304,-208.8481706179,518,6
648.7565969946,-211.8292300258,519,6
682.5419369508,-210.8355435565,520,6
714.3399039685,-209.8418570872,521,6
751.1063033327,-208.8481706179,522,6
784.8916432889,-206.8607976793,523,6
820.6643561838,-206.8607976793,524,6
857.4307555479,-205.86711121,525,6
893.2034684428,-206.8607976793,526,6
930.9635542763,-204.8734247407,527,6
964.7488942325,-205.86711121,528,6
1005.4900394739,-205.86711121,529,6
1038.2816929609,-204.8734247407,530,6
20.256636051,-294.927022882,600,7
48.314559688,-292.4703750274,601,7
86.0851893109,-293.9219483697,602,7
114.7380428145,-293.8474314214,603,7
144.2099798897,-291.6518943159,604,7
180.0455802962,-298.648047418,605,7
214.8761061904,-297.6805328099,606,7
249.7066320847,-298.648047418,607,7
287.4397018034,-295.7455035935,608,7
321.3027130895,-297.6805328099,609,7
355.1657243755,-297.6805328099,610,7
392.8987940943,-295.7455035935,611,7
450.9496705847,-295.7455035935,612,7
487.7152256953,-295.7455035935,613,7
520.6107223731,-292.3589010349,614,7
555.4412482674,-294.7779889854,615,7
597.0443764188,-293.8104743772,616,7
631.8749023131,-293.8104743772,617,7
669.6079720318,-291.8754451608,618,7
709.2760709669,-294.7779889854,619,7
748.944169902,-291.8754451608,620,7
781.8396665799,-293.8104743772,621,7
822.4752801232,-291.8754451608,622,7
863.1108936664,-292.842959769,623,7
903.7465072097,-293.8104743772,624,7
945.3496353611,-292.842959769,625,7
985.0177342962,-293.8104743772,626,7
1028.555891664,-289.9404159445,627,7
20.4056699476,-336.3811171368,700,8
52.3336520173,-338.3161463531,701,8
89.9742883619,-334.0617326724,702,8
124.9348075345,-333.627004349,703,8
154.8902004837,-338.3161463531,704,8
189.7207263779,-338.3161463531,705,8
222.9506450333,-333.8875122381,706,8
262.2843219909,-341.2186901777,707,8
298.0823624933,-340.2511755695,708,8
335.8154322121,-342.1862047858,709,8
372.5434274185,-335.8225414544,710,8
430.3713559239,-337.7575706708,711,8
474.8400708557,-339.2836609613,712,8
510.9355762914,-340.2511755695,713,8
548.2221471802,-335.0410177871,714,8
584.4666865126,-339.2836609613,715,8
624.7589209856,-336.7969413764,716,8
665.0371707732,-334.9235344095,717,8
702.5053101105,-335.8602378929,718,8
744.6569668649,-333.9868309261,719,8
785.8719201359,-333.9868309261,720,8
825.2134664401,-335.8602378929,721,8
865.4917162277,-334.9235344095,722,8
908.5800764656,-335.8602378929,723,8
949.7950297366,-335.8602378929,724,8
993.8200934579,-335.8602378929,725,8
1035.9717502124,-335.8602378929,726,8
13.1373911324,-441.2475348036,800,9
44.0232426528,-442.3741851215,801,9
81.6182900561,-441.465520087,802,9
134.921753762,-446.9682163188,804,9
192.8192486653,-447.6006094529,805,9
237.763465678,-445.7832793838,806,9
276.8995712499,-450.0211893475,807,9
320.0264581935,-449.744917447,808,9
382.4888409855,-449.2215169547,809,9
430.3770383852,-453.4594269183,810,9
473.1186607867,-454.4770845946,811,9
517.8955985407,-453.4594269183,812,9
562.6725362946,-452.4417692421,813,9
603.3788433437,-453.4594269183,814,9
647.1381234214,-455.4947422708,815,9
692.9327188516,-453.4594269183,816,9
737.7096566056,-454.4770845946,817,9
782.4865943595,-454.4770845946,818,9
830.3165051422,-455.4947422708,819,9
875.0934428961,-455.4947422708,820,9
923.941011355,-456.512399947,821,9
970.7532644614,-458.5477152995,822,9
1023.6714636252,-457.5300576233,823,9
