,mdhr,means,bins,wkday
0,110610,0.91311369509,10.0,1
1,110611,0.836856941508,11.0,1
2,110612,0.600344530577,12.0,1
3,110613,0.470284237726,13.0,1
4,110614,0.591613812544,14.0,1
5,110615,0.678617571059,15.0,1
6,110616,0.693798449612,16.0,1
7,110617,0.666666666667,17.0,1
8,110618,0.847545219638,18.0,1
11,11069,0.903585271318,9.0,1
12,110710,0.91311369509,10.0,2
13,110711,0.846723044397,11.0,2
14,110712,0.59334625323,12.0,2
15,110713,0.457011980268,13.0,2
16,110714,0.542312661499,14.0,2
17,110715,0.579134366925,15.0,2
18,110716,0.579457364341,16.0,2
19,110718,0.846899224806,18.0,2
22,11078,0.858527131783,8.0,2
23,11079,0.889147286822,9.0,2
24,110810,0.906330749354,10.0,3
25,110811,0.801033591731,11.0,3
26,110812,0.551679586563,12.0,3
27,110813,0.408591731266,13.0,3
28,110814,0.492571059432,14.0,3
29,110815,0.550064599483,15.0,3
30,110816,0.567183462532,16.0,3
31,110817,0.56976744186,17.0,3
32,110818,0.648901808786,18.0,3
35,11086,0.174418604651,6.0,3
36,11087,0.230297157623,7.0,3
37,11088,0.801033591731,8.0,3
38,11089,0.915697674419,9.0,3
39,110910,0.904715762274,10.0,4
40,110911,0.838824289406,11.0,4
41,110912,0.636950904393,12.0,4
42,110913,0.511950904393,13.0,4
43,110914,0.556201550388,14.0,4
44,110915,0.594315245478,15.0,4
45,110916,0.580749354005,16.0,4
46,110917,0.572674418605,17.0,4
47,110918,0.602390180879,18.0,4
50,11096,0.201550387597,6.0,4
51,11097,0.306201550388,7.0,4
52,11098,0.772609819121,8.0,4
53,11099,0.910206718346,9.0,4
55,11056,0.106878306878,6.0,0
56,11057,0.204932360541,7.0,0
57,11058,0.719886780074,8.0,0
58,11059,0.8143089701,9.0,0
59,110510,0.83489087028,10.0,0
60,110511,0.747269750809,11.0,0
61,110512,0.537195866345,12.0,0
62,110513,0.407653379089,13.0,0
63,110514,0.45703879033,14.0,0
64,110515,0.495310420092,15.0,0
65,110516,0.475788652024,16.0,0
66,110517,0.465736740509,17.0,0
67,110518,0.557042760994,18.0,0
71,11066,0.106878306878,6.0,1
72,11067,0.204932360541,7.0,1
73,11068,0.719886780074,8.0,1
75,11076,0.106878306878,6.0,2
76,11077,0.204932360541,7.0,2
77,110717,0.465736740509,17.0,2
